Booking.date,Credit,Debit,Balance
04.07.2023,,30,42065
02.07.2023,,5,42095
02.07.2023,,5,42100
01.07.2023,,335,42105
01.07.2023,,260,42440
01.07.2023,,40,42700
28.06.2023,,25,42740
28.06.2023,,5,42765
28.06.2023,,5,42770
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
28.06.2023,,,42775
27.06.2023,,80,42775
27.06.2023,,10,42855
27.06.2023,,5,42865
26.06.2023,,50,42870
25.06.2023,,70,42920
25.06.2023,,40,42990
25.06.2023,,5,43030
25.06.2023,,5,43035
25.06.2023,4999,,43040
24.06.2023,,25,38041
24.06.2023,,10,38066
24.06.2023,,10,38076
21.06.2023,,105,38086
19.06.2023,,1500,38191
14.06.2023,,400,39691
12.06.2023,,10,40091
11.06.2023,,25,40101
11.06.2023,,5,40126
11.06.2023,,5,40131
10.06.2023,,300,40136
10.06.2023,,105,40436
10.06.2023,,50,40541
10.06.2023,,10,40591
10.06.2023,,10,40601
10.06.2023,,10,40611
10.06.2023,,5,40621
06.06.2023,,40,40626
05.06.2023,,5,40666
04.06.2023,,5,40671
03.06.2023,,55,40676
03.06.2023,,5,40731
03.06.2023,,5,40736
31.05.2023,,5,40741
31.05.2023,,,40746
31.05.2023,,,40746
31.05.2023,,,40746
31.05.2023,,,40746
31.05.2023,,,40746
31.05.2023,,,40746
30.05.2023,,5,40746
30.05.2023,,5,40751
28.05.2023,,10,40756
27.05.2023,,5,40766
24.05.2023,,10,40771
24.05.2023,4999,,40781
21.05.2023,,260,35782
21.05.2023,,5,36042
20.05.2023,,135,36047
20.05.2023,,55,36182
20.05.2023,,30,36237
20.05.2023,,10,36267
20.05.2023,,5,36277
17.05.2023,,5,36282
16.05.2023,,55,36287
15.05.2023,,40,36342
15.05.2023,,20,36382
13.05.2023,,55,36402
13.05.2023,,50,36457
13.05.2023,,45,36507
13.05.2023,,5,36552
13.05.2023,,5,36557
10.05.2023,,340,36562
10.05.2023,,5,36902
09.05.2023,,5,36907
08.05.2023,,5,36912
07.05.2023,,20,36917
07.05.2023,,15,36937
07.05.2023,,5,36952
11.05.2023,,50,36957
11.05.2023,,55,37007
13.05.2023,,45,37062
13.05.2023,,5,37107
13.05.2023,,5,37112
10.05.2023,,340,37117
10.05.2023,,5,37457
09.05.2023,,5,37462
08.05.2023,,5,37467
07.05.2023,,20,37472
07.05.2023,,15,37492
07.05.2023,,5,37507
06.05.2023,,65,37512
06.05.2023,,40,37577
06.05.2023,,35,37617
06.05.2023,,20,37652
06.05.2023,,20,37672
06.05.2023,,5,37692
06.05.2023,,5,37697
06.05.2023,,5,37702
03.05.2023,,5,37707
02.05.2023,,45,37712
01.05.2023,,5,37757
30.04.2023,,5,37762
30.04.2023,,5,37767
30.04.2023,,5,37772
30.04.2023,,5,37777
30.04.2023,,,37782
30.04.2023,,,37782
30.04.2023,,,37782
30.04.2023,,,37782
30.04.2023,,,37782
30.04.2023,,,37782
29.04.2023,,55,37782
29.04.2023,,25,37837
26.04.2023,,120,37862
26.04.2023,,5,37982
26.04.2023,,5,37987
25.04.2023,4999,,37992
24.04.2023,,5,32993
22.04.2023,,95,32998
22.04.2023,,50,33093
22.04.2023,,10,33143
18.04.2023,,15,33153
18.04.2023,,5,33168
17.04.2023,,40,33173
17.04.2023,,5,33213
16.04.2023,,260,33218
16.04.2023,,40,33478
16.04.2023,,30,33518
16.04.2023,,20,33548
16.04.2023,,5,33568
16.04.2023,,5,33573
16.04.2023,,5,33578
15.04.2023,,55,33583
15.04.2023,,30,33638
12.04.2023,,40,33668
12.04.2023,,5,33708
12.04.2023,,5,33713
11.04.2023,,5,33718
11.04.2023,,5,33723
09.04.2023,,5,33728
09.04.2023,,5,33733
08.04.2023,,340,33738
08.04.2023,,75,34078
08.04.2023,,10,34153
08.04.2023,,5,34163
03.04.2023,,5,34168
03.04.2023,,5,34173
01.04.2023,,30,34178
01.04.2023,,20,34208
01.04.2023,,5,34228
01.04.2023,,5,34233
01.04.2023,,5,34238
29.03.2023,,5,34243
29.03.2023,,5,34248
29.03.2023,,5,34253
29.03.2023,,,34258
29.03.2023,,,34258
29.03.2023,,,34258
29.03.2023,,,34258
29.03.2023,,,34258
29.03.2023,,,34258
28.03.2023,,5,34258
26.03.2023,,5,34263
26.03.2023,,5,34268
25.03.2023,,195,34273
25.03.2023,,80,34468
25.03.2023,,25,34548
25.03.2023,,5,34573
25.03.2023,4999,,34578
22.03.2023,,5,29579
20.03.2023,,5,29584
20.03.2023,,5,29589
19.03.2023,,365,29594
19.03.2023,,340,29959
19.03.2023,,315,30299
19.03.2023,,260,30614
18.03.2023,,35,30874
18.03.2023,,30,30909
18.03.2023,,5,30939
14.03.2023,,5,30944
14.03.2023,,5,30949
13.03.2023,,35,30954
12.03.2023,,5,30989
12.03.2023,,5,30994
11.03.2023,,65,30999
08.03.2023,,45,31064
07.03.2023,,10,31109
06.03.2023,,5,31119
05.03.2023,,5,31124
05.03.2023,,5,31129
04.03.2023,,75,31134
04.03.2023,,50,31209
04.03.2023,,15,31259
04.03.2023,,10,31274
04.03.2023,,5,31284
01.03.2023,,15,31289
01.03.2023,,5,31304
28.02.2023,,20,31309
28.02.2023,,10,31329
28.02.2023,,5,31339
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
28.02.2023,,,31344
26.02.2023,,5,31344
25.02.2023,,20,31349
25.02.2023,,20,31369
25.02.2023,4999,,31389
21.02.2023,,15,26390
20.02.2023,,5,26405
20.02.2023,,5,26410
19.02.2023,,95,26415
18.02.2023,,25,26510
18.02.2023,,15,26535
18.02.2023,,10,26550
18.02.2023,,5,26560
18.02.2023,,5,26565
14.02.2023,,20,26570
14.02.2023,,5,26590
13.02.2023,,50,26595
13.02.2023,,30,26645
12.02.2023,,15,26675
12.02.2023,,5,26690
11.02.2023,,5,26695
11.02.2023,,5,26700
08.02.2023,,340,26705
08.02.2023,,5,27045
07.02.2023,,45,27050
07.02.2023,,5,27095
06.02.2023,,15,27100
06.02.2023,,10,27115
05.02.2023,,25,27125
05.02.2023,,5,27150
04.02.2023,,220,27155
04.02.2023,,5,27375
31.01.2023,,5,27380
31.01.2023,,5,27385
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
31.01.2023,,,27390
28.01.2023,,160,27390
28.01.2023,,45,27550
28.01.2023,,10,27595
28.01.2023,,5,27605
25.01.2023,,10,27610
25.01.2023,,5,27620
25.01.2023,4999,,27625
24.01.2023,,5,22626
22.01.2023,,125,22631
22.01.2023,,30,22756
21.01.2023,,180,22786
21.01.2023,,50,22966
21.01.2023,,35,23016
21.01.2023,,5,23051
18.01.2023,,100,23056
18.01.2023,,5,23156
18.01.2023,,5,23161
18.01.2023,,5,23166
17.01.2023,,85,23171
16.01.2023,,5,23256
15.01.2023,,100,23261
15.01.2023,,40,23361
15.01.2023,,25,23401
15.01.2023,,10,23426
15.01.2023,,10,23436
14.01.2023,,340,23446
14.01.2023,,95,23786
14.01.2023,,60,23881
14.01.2023,,25,23941
14.01.2023,,20,23966
14.01.2023,,15,23986
14.01.2023,,15,24001
14.01.2023,,10,24016
11.01.2023,,60,24026
11.01.2023,,15,24086
11.01.2023,,10,24101
11.01.2023,,5,24111
10.01.2023,,25,24116
09.01.2023,,15,24141
08.01.2023,,35,24156
08.01.2023,,5,24191
07.01.2023,,125,24196
07.01.2023,,65,24321
07.01.2023,,20,24386
04.01.2023,,120,24406
31.12.2022,,5,24526
31.12.2022,,,24531
31.12.2022,,,24531
31.12.2022,,,24531
31.12.2022,,,24531
31.12.2022,,,24531
31.12.2022,,,24531
21.12.2022,,40,24531
21.12.2022,,15,24571
21.12.2022,4999,,24586
20.12.2022,,45,19587
19.12.2022,,10,19632
19.12.2022,,10,19642
18.12.2022,,340,19652
18.12.2022,,15,19992
18.12.2022,,10,20007
18.12.2022,,5,20017
17.12.2022,,10,20022
17.12.2022,,5,20032
17.12.2022,,5,20037
14.12.2022,,10,20042
13.12.2022,,20,20052
12.12.2022,,5,20072
11.12.2022,,15,20077
11.12.2022,,5,20092
11.12.2022,,5,20097
10.12.2022,,45,20102
07.12.2022,,5,20147
05.12.2022,,5,20152
04.12.2022,,55,20157
04.12.2022,,15,20212
03.12.2022,,60,20227
03.12.2022,,25,20287
30.11.2022,,5,20312
30.11.2022,,5,20317
30.11.2022,,,20322
30.11.2022,,,20322
30.11.2022,,,20322
30.11.2022,,,20322
30.11.2022,,,20322
30.11.2022,,,20322
28.11.2022,,5,20322
27.11.2022,,10,20327
26.11.2022,,95,20337
26.11.2022,,65,20432
26.11.2022,,15,20497
23.11.2022,6999,,20512
21.11.2022,,5,13513
20.11.2022,,330,13518
19.11.2022,,95,13848
19.11.2022,,15,13943
19.11.2022,,5,13958
19.11.2022,,5,13963
16.11.2022,,10,13968
15.11.2022,,105,13978
15.11.2022,,45,14083
15.11.2022,,20,14128
14.11.2022,,10,14148
14.11.2022,,10,14158
13.11.2022,,5,14168
13.11.2022,322,,14173
12.11.2022,,340,13851
12.11.2022,,320,14191
12.11.2022,,115,14511
09.11.2022,,5,14626
09.11.2022,,5,14631
08.11.2022,,5,14636
07.11.2022,,5,14641
05.11.2022,,90,14646
02.11.2022,,10,14736
02.11.2022,,5,14746
01.11.2022,,50,14751
01.11.2022,,5,14801
01.11.2022,,5,14806
31.10.2022,,5,14811
31.10.2022,,5,14816
31.10.2022,,,14821
31.10.2022,,,14821
31.10.2022,,,14821
31.10.2022,,,14821
31.10.2022,,,14821
31.10.2022,,,14821
29.10.2022,,15,14821
29.10.2022,,5,14836
29.10.2022,,5,14841
26.10.2022,,100,14846
26.10.2022,,45,14946
25.10.2022,,5,14991
25.10.2022,4999,,14996
24.10.2022,,10,9997
23.10.2022,,5,10007
22.10.2022,,30,10012
22.10.2022,,10,10042
18.10.2022,,80,10052
17.10.2022,,25,10132
17.10.2022,,5,10157
16.10.2022,,40,10162
15.10.2022,,600,10202
15.10.2022,,10,10802
15.10.2022,,5,10812
12.10.2022,,10,10817
11.10.2022,,340,10827
10.10.2022,,5,11167
09.10.2022,,5,11172
09.10.2022,,5,11177
08.10.2022,,15,11182
04.10.2022,,20,11197
04.10.2022,,5,11217
04.10.2022,,5,11222
03.10.2022,,30,11227
03.10.2022,,10,11257
02.10.2022,,200,11267
02.10.2022,,170,11467
02.10.2022,,100,11637
02.10.2022,,5,11737
01.10.2022,,205,11742
01.10.2022,,85,11947
01.10.2022,,60,12032
01.10.2022,,50,12092
28.09.2022,,10,12142
28.09.2022,,5,12152
28.09.2022,,5,12157
28.09.2022,,,12162
28.09.2022,,,12162
28.09.2022,,,12162
28.09.2022,,,12162
28.09.2022,,,12162
28.09.2022,,,12162
27.09.2022,,1160,12162
27.09.2022,,45,13322
27.09.2022,,5,13367
27.09.2022,,5,13372
26.09.2022,,5,13377
25.09.2022,,5,13382
25.09.2022,4999,,13387
24.09.2022,,20,8388
21.09.2022,,15,8408
20.09.2022,,5,8423
19.09.2022,,5,8428
18.09.2022,,65,8433
18.09.2022,,15,8498
17.09.2022,,20,8513
17.09.2022,,5,8533
17.09.2022,,5,8538
14.09.2022,,25,8543
14.09.2022,,5,8568
13.09.2022,,10,8573
13.09.2022,,5,8583
13.09.2022,,5,8588
12.09.2022,,10,8593
11.09.2022,,555,8603
11.09.2022,,340,9158
11.09.2022,,5,9498
11.09.2022,,5,9503
10.09.2022,,5,9508
07.09.2022,,50,9513
07.09.2022,,10,9563
07.09.2022,,5,9573
07.09.2022,,5,9578
06.09.2022,,5,9583
05.09.2022,,140,9588
05.09.2022,,5,9728
05.09.2022,,5,9733
04.09.2022,,35,9738
04.09.2022,,25,9773
04.09.2022,,5,9798
04.09.2022,,5,9803
03.09.2022,,70,9808
03.09.2022,,10,9878
03.09.2022,,5,9888
03.09.2022,,5,9893
31.08.2022,,5,9898
31.08.2022,,5,9903
31.08.2022,,,9908
31.08.2022,,,9908
31.08.2022,,,9908
31.08.2022,,,9908
31.08.2022,,,9908
30.08.2022,,5,9908
29.08.2022,,200,9913
29.08.2022,,100,10113
29.08.2022,,35,10213
29.08.2022,,30,10248
29.08.2022,,5,10278
29.08.2022,,5,10283
27.08.2022,,80,10288
27.08.2022,,35,10368
27.08.2022,,10,10403
24.08.2022,4999,,10413
22.08.2022,,30,5414
22.08.2022,,5,5444
21.08.2022,,5,5449
20.08.2022,,35,5454
17.08.2022,,5,5489
17.08.2022,,5,5494
15.08.2022,,5,5499
13.08.2022,,340,5504
31.07.2022,,5,5844
31.07.2022,,,5849
31.07.2022,,,5849
31.07.2022,,,5849
31.07.2022,,,5849
31.07.2022,,,5849
31.07.2022,,,5849
31.07.2022,,,5849
25.07.2022,4999,,5849
18.07.2022,,40,850
17.07.2022,,5,890
16.07.2022,,5,895
16.07.2022,,,900
